date,stock_open,transport_in,planned_sellout,real_sellout,store_id
2022-01-24,128.7030029296875,144.144,66.92469787597656,70.17120000000006,9bf36b0315
2022-01-25,202.91400146484372,57.658,66.92469787597656,74.05200000000008,9bf36b0315
2022-01-26,132.26400756835938,374.774,66.92469787597656,94.32720000000008,9bf36b0315
2022-01-27,294.3800048828125,273.873,66.92469787597656,193.8221999999996,9bf36b0315
2022-01-28,278.8139953613281,187.387,66.92469787597656,124.18559999999977,9bf36b0315
2022-01-29,234.3730010986328,165.766,66.92469787597656,213.5231999999999,9bf36b0315
2022-01-30,214.9129943847656,,66.92469787597656,,9bf36b0315
2022-01-31,214.9129943847656,,66.92469787597656,255.73679999999945,9bf36b0315
2022-02-01,312.48699951171875,,49.91579818725586,168.45839999999987,9bf36b0315
2022-02-02,143.98199462890625,,49.91579818725586,88.07040000000006,9bf36b0315
2022-02-03,56.150001525878906,,49.91579818725586,25.26480000000001,9bf36b0315
2022-02-04,32.70600128173828,,49.91579818725586,21.225600000000004,9bf36b0315
2022-02-05,14.081000328063965,,49.91579818725586,1.8216,9bf36b0315
2022-02-06,12.187000274658203,,49.91579818725586,,9bf36b0315
2022-02-07,12.187000274658203,,49.91579818725586,4.356000000000001,9bf36b0315
2022-02-08,7.830999851226807,,49.91579818725586,1.0296,9bf36b0315
2022-02-09,7.019000053405762,,49.91579818725586,2.2176,9bf36b0315
2022-02-10,4.670000076293945,,49.91579818725586,0.2375999999999999,9bf36b0315
2022-02-11,4.241000175476074,,49.91579818725586,-0.3960000000000001,9bf36b0315
2022-02-12,4.579999923706055,,49.91579818725586,0.0791999999999999,9bf36b0315
2022-02-13,4.685999870300293,28.829,49.91579818725586,,9bf36b0315
2022-02-14,4.685999870300293,36.036,49.91579818725586,23.52240000000001,9bf36b0315
2022-02-15,10.22700023651123,,49.91579818725586,2.772,9bf36b0315
2022-02-16,43.49100112915039,,49.91579818725586,23.04720000000004,9bf36b0315
2022-02-17,20.444000244140625,,49.91579818725586,8.949600000000006,9bf36b0315
2022-02-18,12.84000015258789,381.982,49.91579818725586,7.682400000000003,9bf36b0315
2022-02-19,6.188000202178955,,49.91579818725586,17.8992,9bf36b0315
